0.339	0.101	0.473	0.088
0.383	0.111	0.443	0.083
0.578	0.147	0.365	0.074
0.416	0.117	0.431	0.082
0.235	0.086	0.519	0.091
0.396	0.113	0.442	0.083
0.300	0.099	0.480	0.086
0.362	0.111	0.455	0.084
0.498	0.130	0.399	0.079
0.497	0.126	0.393	0.079
0.347	0.109	0.464	0.085
0.545	0.135	0.372	0.076
0.503	0.129	0.387	0.078
0.389	0.112	0.437	0.082
0.381	0.111	0.447	0.084
0.388	0.109	0.448	0.086
0.473	0.122	0.403	0.080
0.406	0.117	0.436	0.082
0.334	0.103	0.470	0.086
0.347	0.106	0.459	0.084
0.450	0.124	0.415	0.080
0.404	0.110	0.439	0.084
0.419	0.116	0.427	0.082
0.384	0.110	0.447	0.084
0.544	0.139	0.372	0.075
0.444	0.124	0.417	0.079
0.288	0.098	0.490	0.088
0.481	0.127	0.401	0.079
0.508	0.128	0.384	0.078
0.338	0.103	0.470	0.087
0.370	0.111	0.448	0.083
0.333	0.104	0.471	0.086
0.452	0.126	0.410	0.079
0.346	0.107	0.464	0.085
0.454	0.120	0.409	0.080
0.395	0.112	0.439	0.083
0.337	0.104	0.467	0.086
0.335	0.104	0.467	0.086
0.432	0.118	0.421	0.081
0.354	0.109	0.457	0.084
0.486	0.132	0.406	0.079
0.322	0.102	0.477	0.087
0.331	0.102	0.471	0.087
0.505	0.131	0.389	0.077
0.352	0.106	0.462	0.085
0.375	0.114	0.447	0.083
0.351	0.105	0.465	0.086
0.436	0.119	0.422	0.082
0.354	0.107	0.461	0.085
0.340	0.103	0.469	0.087
0.242	0.088	0.512	0.090
0.380	0.110	0.447	0.084
0.488	0.127	0.393	0.078
0.306	0.106	0.484	0.086
0.486	0.128	0.396	0.078
0.528	0.139	0.385	0.076
0.393	0.114	0.436	0.082
0.303	0.097	0.480	0.087
0.368	0.110	0.451	0.084
0.476	0.123	0.400	0.080
0.424	0.119	0.423	0.081
0.321	0.103	0.475	0.086
0.199	0.078	0.536	0.093
0.603	0.148	0.348	0.072
0.409	0.113	0.426	0.082
0.504	0.132	0.390	0.077
0.585	0.145	0.356	0.073
0.449	0.121	0.418	0.081
0.298	0.096	0.485	0.088
0.472	0.125	0.402	0.079
0.501	0.128	0.386	0.077
0.562	0.137	0.366	0.076
0.602	0.140	0.341	0.073
0.320	0.099	0.478	0.088
0.370	0.109	0.448	0.084
0.434	0.117	0.420	0.081
0.465	0.128	0.412	0.079
0.336	0.104	0.467	0.086
0.363	0.107	0.451	0.084
0.475	0.127	0.403	0.079
0.386	0.111	0.443	0.083
0.336	0.104	0.467	0.086
0.592	0.142	0.346	0.073
0.541	0.131	0.367	0.076
0.389	0.112	0.440	0.083
0.502	0.133	0.397	0.078
0.414	0.118	0.423	0.080
0.438	0.123	0.422	0.081
0.437	0.124	0.424	0.081
0.368	0.109	0.449	0.084
0.424	0.116	0.426	0.082
0.466	0.122	0.407	0.080
0.461	0.122	0.408	0.080
0.347	0.104	0.461	0.085
0.397	0.113	0.439	0.083
0.435	0.121	0.421	0.081
0.661	0.162	0.333	0.069
0.488	0.126	0.400	0.080
0.371	0.108	0.448	0.084
0.626	0.145	0.331	0.072
0.403	0.118	0.435	0.081
0.397	0.115	0.437	0.082
0.391	0.109	0.438	0.084
0.467	0.118	0.405	0.079
0.378	0.108	0.445	0.084
0.483	0.130	0.403	0.079
0.398	0.113	0.441	0.084
0.426	0.117	0.425	0.082
0.535	0.134	0.376	0.077
0.551	0.132	0.365	0.076
0.542	0.140	0.377	0.075
0.439	0.119	0.427	0.083
0.429	0.122	0.443	0.084
0.317	0.098	0.481	0.088
0.333	0.104	0.468	0.086
0.457	0.120	0.411	0.081
0.384	0.112	0.449	0.084
0.427	0.119	0.421	0.081
0.403	0.117	0.436	0.082
0.482	0.125	0.397	0.079
0.305	0.100	0.484	0.087
0.314	0.100	0.470	0.086
0.262	0.092	0.497	0.088
0.388	0.110	0.445	0.085
0.625	0.149	0.340	0.072
0.404	0.114	0.434	0.083
0.507	0.130	0.387	0.078
0.546	0.138	0.367	0.074
0.417	0.111	0.423	0.082
0.447	0.122	0.415	0.081
0.347	0.106	0.463	0.085
0.401	0.114	0.437	0.083
0.392	0.114	0.442	0.083
0.408	0.114	0.442	0.084
0.492	0.129	0.395	0.078
0.404	0.118	0.437	0.082
0.335	0.107	0.468	0.085
